Date,Open,High,Low,Close,Adj Close,Volume
20170530,241.339996,241.789993,241.160004,241.5,227.811218,35201900
20170531,241.839996,241.880005,240.639999,241.440002,227.754623,91796000
20170601,241.970001,243.380005,241.639999,243.360001,229.565781,68962000
20170602,243.419998,244.350006,243.080002,244.169998,230.32988,88666100
20170605,243.970001,244.300003,243.759995,243.990005,230.160095,44698800
20170606,243.339996,243.979996,243.119995,243.210007,229.424271,50375400
20170607,243.600006,243.919998,242.830002,243.660004,229.848801,54144300
20170608,243.770004,244.330002,243.169998,243.779999,229.96199,65950700
20170609,244.089996,245.009995,241.949997,243.410004,229.612976,132256400
20170612,243.130005,243.419998,242.380005,243.360001,229.565781,86108100
20170613,243.979996,244.610001,243.580002,244.550003,230.68837,60067000
20170614,244.860001,244.869995,243.289993,244.240005,230.395905,78602300
20170615,242.679993,243.910004,242.360001,243.770004,229.952576,66464900
20170616,242.770004,242.830002,241.630005,242.639999,230.002808,84553100
20170619,243.589996,244.729996,243.479996,244.660004,231.917603,65123800
20170620,244.25,244.259995,242.990005,243.009995,230.353531,56906400
20170621,243.460007,243.589996,242.410004,242.949997,230.296646,55977600
20170622,242.960007,243.529999,242.639999,242.839996,230.192368,44148100
20170623,242.910004,243.509995,242.470001,243.130005,230.46727,66986800
20170626,243.899994,244.380005,243.050003,243.289993,230.618942,56700500
20170627,243.039993,243.380005,241.309998,241.330002,228.761017,82247700
20170628,242.5,243.720001,242.229996,243.490005,230.808517,70042600
20170629,243.660004,243.720001,239.960007,241.350006,228.779968,106949700
20170630,242.279999,242.710007,241.580002,241.800003,229.206543,86820700
20170703,242.880005,243.380005,242.210007,242.210007,229.5952,39153800
20170705,242.630005,243.009995,241.699997,242.770004,230.126022,54427600
20170706,241.889999,242.029999,240.339996,240.550003,228.021637,65400800
20170707,241.210007,242.279999,240.559998,242.110001,229.500397,57972300
20170710,242.110001,242.800003,241.759995,242.369995,229.746841,36663300
20170711,242.369995,242.550003,240.850006,242.190002,229.576218,50354600
20170712,243.300003,244.199997,243.300003,244.009995,231.301437,59610400
20170713,244.020004,244.550003,243.759995,244.419998,231.690079,39471600
20170714,244.419998,245.970001,244.309998,245.559998,232.770706,60262700
20170717,245.470001,245.910004,245.330002,245.529999,232.742279,33531900
20170718,245.059998,245.720001,244.669998,245.660004,232.865509,42742500
20170719,246.020004,247,246.009995,246.990005,234.126236,51034300
20170720,247.279999,247.419998,246.470001,247.100006,234.230499,47135200
20170721,246.440002,246.910004,246.179993,246.880005,234.021988,82340800
20170724,246.789993,246.979996,246.279999,246.820007,233.965088,46622300
20170725,247.679993,247.800003,247.160004,247.419998,234.533844,54915600
20170726,247.75,247.789993,247.130005,247.429993,234.543335,47575400
20170727,247.960007,248,245.679993,247.199997,234.325287,70766600
20170728,246.649994,247.059998,246.130005,246.910004,234.0504,50088400
20170731,247.369995,247.479996,246.529999,246.770004,233.917709,65838700
20170801,247.460007,247.5,246.720001,247.320007,234.439072,55050400
20170802,247.470001,247.600006,246.369995,247.440002,234.552811,47211200
20170803,247.309998,247.339996,246.639999,246.960007,234.097809,40856000
20170804,247.520004,247.789993,246.970001,247.410004,234.524384,60191800
20170807,247.490005,247.869995,247.369995,247.869995,234.960403,31995000
20170808,247.509995,248.910004,246.830002,247.259995,234.382172,61719400
20170809,246.470001,247.309998,246.059998,247.25,234.372696,62632600
20170810,246.289993,246.440002,243.699997,243.759995,231.064468,120479500
20170811,244.020004,244.800003,243.75,244.119995,231.405685,74869900
20170814,245.589996,246.789993,245.550003,246.539993,233.699646,73291900
20170815,246.979996,247,246.160004,246.509995,233.671234,55242700
20170816,247.110001,247.570007,246.449997,246.940002,234.078857,56715500
20170817,246.240005,246.600006,243.089996,243.089996,230.429352,128490400
