datetime,open,high,low,close,volume,adj close
2001-02-20,131.0399932861328,131.13999938964844,128.10000610351562,128.38999938964844,5760000,88.66674041748047
2001-02-21,127.9000015258789,128.83999633789062,125.5,125.62000274658203,10910800,86.75371551513672
2001-02-22,126.3499984741211,126.54000091552734,123.0199966430664,125.80999755859375,21281600,86.88494110107422
2001-02-23,125.08000183105469,125.54000091552734,121.80000305175781,124.95999908447266,20173000,86.29792785644531
2001-02-26,125.80000305175781,127.62000274658203,124.5,127.62000274658203,11503700,88.13493347167969
2001-02-27,126.80000305175781,127.83999633789062,125.51000213623047,126.44000244140625,11415000,87.32003784179688
2001-02-28,126.75,126.83999633789062,123.2699966430664,123.94999694824219,14825800,85.60041809082031
2001-03-01,124.05000305175781,124.5999984741211,121.75,124.5999984741211,14672000,86.04928588867188
2001-03-02,122.5,125.6500015258789,122.30000305175781,123.61000061035156,12564300,85.36563110351562
2001-03-05,124.1500015258789,124.77999877929688,123.80999755859375,124.73999786376953,5293200,86.14599609375
2001-03-06,126.3499984741211,127.75,125.48999786376953,126.08000183105469,6917000,87.07139587402344
2001-03-07,126.9000015258789,127.04000091552734,125.76000213623047,126.9800033569336,6371700,87.69293212890625
2001-03-08,126.5999984741211,127.23999786376953,126.13999938964844,127.12000274658203,6055000,87.78959655761719
2001-03-09,126.0999984741211,126.0999984741211,123.11000061035156,123.36000061035156,10020300,85.19293975830078
2001-03-12,122.33999633789062,122.5,117.75,118.08000183105469,13972900,81.54656982421875
2001-03-13,119.4000015258789,120.44000244140625,117.52999877929688,120.0199966430664,12888000,82.88636779785156
2001-03-14,117.05000305175781,119.29000091552734,115.75,117.6500015258789,19883400,81.24960327148438
2001-03-15,118.44999694824219,118.86000061035156,117.36000061035156,117.68000030517578,10370300,81.27032470703125
2001-03-16,117.12999725341797,117.4000015258789,114.80999755859375,115.01000213623047,58514600,79.64026641845703
2001-03-19,115.76000213623047,117.69000244140625,114.81999969482422,117.3499984741211,10067800,81.26063537597656
2001-03-20,117.9000015258789,118.45999908447266,114.11000061035156,114.19999694824219,15083900,79.07936096191406
2001-03-21,114.18000030517578,115.26000213623047,111.9000015258789,112.26000213623047,19004600,77.7359848022461
2001-03-22,112.0199966430664,112.5999984741211,108.04000091552734,111.12000274658203,28624800,76.94654846191406
2001-03-23,113.25,114.66000366210938,111.5,114.4800033569336,12861700,79.27327728271484
2001-03-26,115.69999694824219,116.2699966430664,114.7699966430664,115.94000244140625,9943800,80.28425598144531
2001-03-27,115.62000274658203,118.6500015258789,115.27999877929688,118.30999755859375,12880700,81.92538452148438
2001-03-28,116.9000015258789,116.94999694824219,114.9000015258789,115.04000091552734,10953300,79.66104125976562
2001-03-29,114.69999694824219,116.5,112.13999938964844,115.4800033569336,12060300,79.9657211303711
2001-03-30,115.55000305175781,116.69000244140625,114.5,116.69000244140625,9183600,80.80361938476562
2001-04-02,116.30000305175781,117.37999725341797,113.80000305175781,114.19999694824219,10561000,79.07936096191406
2001-04-03,113.9800033569336,114.1500015258789,110.05999755859375,110.38999938964844,12836000,76.44107818603516
2001-04-04,110.56999969482422,112.0999984741211,109.30000305175781,110.8499984741211,14884300,76.7596435546875
2001-04-05,113.30000305175781,115.48999786376953,112.5,115.05000305175781,21522800,79.66796112060547
2001-04-06,113.98999786376953,114.4000015258789,112.05999755859375,113.30000305175781,14937800,78.45616149902344
2001-04-09,114.0,114.98999786376953,112.77999877929688,114.55999755859375,9034300,79.32865142822266
2001-04-10,115.44999694824219,117.75,115.16999816894531,116.6500015258789,17873600,80.77592468261719
2001-04-11,118.77999877929688,118.98999786376953,116.13999938964844,116.7300033569336,12722300,80.83130645751953
2001-04-12,116.30000305175781,118.94000244140625,115.95999908447266,118.8499984741211,9233200,82.29932403564453
2001-04-16,118.29000091552734,118.88999938964844,116.91000366210938,117.5999984741211,7350000,81.43375396728516
2001-04-17,117.30999755859375,119.66000366210938,117.0199966430664,119.26000213623047,10924700,82.58326721191406
2001-04-18,121.05999755859375,126.0,120.69000244140625,124.0,32481600,85.86554718017578
2001-04-19,124.25,125.83999633789062,123.58000183105469,125.6500015258789,13809900,87.00807189941406
2001-04-20,124.9000015258789,125.4000015258789,123.66000366210938,124.5,7626700,86.21173858642578
2001-04-23,123.6500015258789,123.88999938964844,121.91000366210938,122.23999786376953,8451800,84.64682006835938
2001-04-24,122.5199966430664,123.6500015258789,121.0999984741211,121.58000183105469,10044700,84.18975830078125
2001-04-25,121.41999816894531,123.66999816894531,120.94999694824219,123.16999816894531,8249000,85.29077911376953
2001-04-26,123.7300033569336,125.22000122070312,123.5,123.72000122070312,10590400,85.67163848876953
2001-04-27,124.91999816894531,125.83999633789062,124.19999694824219,125.77999877929688,7938700,87.09811401367188
2001-04-30,126.44999694824219,127.2699966430664,124.66999816894531,126.66000366210938,10766900,87.70745849609375
2001-05-01,125.06999969482422,127.1500015258789,124.5999984741211,127.05000305175781,10578000,87.9775161743164
2001-05-02,127.41000366210938,127.69000244140625,126.0,126.81999969482422,9572900,87.81827545166016
2001-05-03,126.12999725341797,126.1500015258789,124.22000122070312,125.20999908447266,9926200,86.7033920288086
2001-05-04,123.6500015258789,127.3499984741211,123.44000244140625,127.33999633789062,12145300,88.17835998535156
2001-05-07,126.86000061035156,127.37999725341797,126.2300033569336,126.23999786376953,7185200,87.41664123535156
2001-05-08,126.86000061035156,127.0999984741211,125.55999755859375,126.18000030517578,6952600,87.37510681152344
2001-05-09,125.25,126.55000305175781,125.05999755859375,125.6500015258789,9507400,87.00807189941406
2001-05-10,127.26000213623047,127.5,125.7699966430664,126.0199966430664,6872400,87.26429748535156
2001-05-11,126.0,126.48999786376953,124.4000015258789,125.1500015258789,7734400,86.66184997558594
2001-05-14,124.9000015258789,125.44000244140625,124.45999908447266,125.4000015258789,7914000,86.8349838256836
2001-05-15,125.55000305175781,126.5,124.8499984741211,125.9800033569336,9782200,87.2365951538086
2001-05-16,124.83999633789062,129.1999969482422,124.62000274658203,128.9499969482422,14909000,89.29322814941406
